Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Acquired by,Acquired by URL,Operating Status,Website,Number of Employees,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Number of Funding Rounds,Top 5 Investors
Gaylin Holdings Ltd.,https://www.crunchbase.com/organization/gaylin-holdings-ltd,"Energy, Oil and Gas","Singapore, Central Region, Singapore","Gaylin Holdings is a specialist providers of rigging and lifting solutions to the global oil and gas (""O&G"") industry.",149704332,USD,149704332,Private,,,Active,http://www.gaylin.com,251-500,100000000,USD,100000000,Private Equity,2,Shaw Kwei & Partners
Coda Payments,https://www.crunchbase.com/organization/coda-payments,"Digital Entertainment, Digital Media, Emerging Markets, Gaming, Mobile, Payments, Video Streaming","Singapore, Central Region, Singapore","Coda helps Tencent, Garena, Netflix, and other publishers monetize games and other digital content in more than twenty emerging markets.",25250000,USD,25250000,Private,,,Active,http://www.codapayments.com,101-250,20000000,USD,20000000,Private Equity,8,"MDI Ventures, Rakuten, Golden Gate, Google Launchpad Accelerator, Accion Venture Lab"
Cardiotrack,https://www.crunchbase.com/organization/uber-diagnostics,"Artificial Intelligence, Biotechnology, Health Care, Health Diagnostics","Singapore, Central Region, Singapore",Cardiotrack is an AI based diagnostics company that is improving heart health outcomes through early diagnosis,1000000,USD,1000000,Private,,,Active,http://www.cardiotrack.io,11-50,,,,Seed,4,"Frontline Strategy, Bud Biswas, Ravindran Govindan"
smove,https://www.crunchbase.com/organization/smove,"Car Sharing, Customer Service, Fleet Management, Internet of Things, Mobile, Transportation","Singapore, Central Region, Singapore","Mobility on-demand, Vehicles Sharing solutions, Car sharing",5100000,SGD,3895196,Private,,,Active,http://www.smove.sg,51-100,,,,Venture - Series Unknown,5,"500 Startups, Wavemaker Partners, Rebright Partners"
Shareable Asset,https://www.crunchbase.com/organization/shareable-asset,,"Singapore, Central Region, Singapore",Futuristic globel real estate investment platform. Global high returns made accessible to all.,3000000,USD,3000000,Private,,,Active,https://www.shareableasset.com,11-50,3000000,USD,3000000,Pre-Seed,1,
Tueetor Pte Ltd,https://www.crunchbase.com/organization/tueetor-pte-ltd,"Continuing Education, E-Learning, EdTech, Education, Higher Education, Music Education, Primary Education, Secondary Education, STEM Education, Vocational Education","Singapore, Central Region, Singapore",Tueetor develops a platform that enables users to instantly find tutors and trainers for a wide range of academic and non-academic subjects.,1480000,USD,1480000,Private,,,Active,https://tueetor.com/,11-50,1480000,USD,1480000,Venture - Series Unknown,1,iGroup (Asia Pacific) Ltd
Bifrost Global,https://www.crunchbase.com/organization/bifrost-global,Financial Services,"Singapore, Central Region, Singapore",Bifrost Global is a parachain designed for staking's liquidity.,600000,USD,600000,Private,,,Active,https://bifrost.finance/,1-10,600000,USD,600000,Seed,1,"LongHash Ventures, NGC Ventures, Youbi Capital, SNZ Holding, Consensus Lab"
Oncoshot,https://www.crunchbase.com/organization/oncoshot,"Clinical Trials, Electronic Health Record (EHR), Health Care, Health Diagnostics, Information Technology, Medical, Online Portals","Singapore, Central Region, Singapore","Oncoshot helps patients, caregivers and oncologists find cancer clinical trials anywhere in the world.",2000000,SGD,1464274,Private,,,Active,https://www.oncoshot.com/,1-10,1500000,SGD,1100324,Seed,2,
Proof & Company,https://www.crunchbase.com/organization/proof-company,"Lifestyle, Wine And Spirits","Singapore, Central Region, Singapore",Proof & Company is a spirits distributor and consultancy.,11000000,SGD,7954097,Private,,,Active,http://www.proofandcompany.com/,11-50,11000000,SGD,7954097,Venture - Series Unknown,1,Aglaia Family Office
Quod AI,https://www.crunchbase.com/organization/quod-ai,Artificial Intelligence,"Singapore, Central Region, Singapore",Quod AI is an AI platform that explains source code in English.,1200000,USD,1200000,Private,,,Active,https://www.quod.ai/,1-10,1200000,USD,1200000,Seed,3,"500 Startups, SGInnovate, XA Network, August One"
Circles.Life,https://www.crunchbase.com/organization/circles-life,"Digital Marketing, Mobile, Telecommunications","Singapore, Central Region, Singapore","Circles.Life is a digital telecommunications and lifestyle services provider, with presence in Singapore, Australia, India and Taiwan.",50000000,USD,50000000,Private,,,Active,https://www.circles.life/,251-500,,,,Venture - Series Unknown,3,"Sequoia Capital India, Founders Fund, Warburg Pincus, EDBI"
Mediacorp Singapore,https://www.crunchbase.com/organization/media-corp-singapore,"Communities, Public Relations","Singapore, Central Region, Singapore","Mediacorp engage, entertain and enrich audiences by harnessing the power of creativity.",2000000,SGD,1420499,Private,,,Active,http://www.mediacorp.sg,1001-5000,2000000,SGD,1420499,Seed,1,
Endofotonics Pte Ltd,https://www.crunchbase.com/organization/endofotonics-pte-ltd,"Biotechnology, Health Care, Information Technology","Singapore, Central Region, Singapore",“Endofotonics’ SPECTRA IMDx system is an enabling technology for cancer management.,9060000,USD,9060000,Private,,,Active,http://www.endofotonics.com/,11-50,8500000,USD,8500000,Series B,3,"Seeds Capital, ZIG Ventures, Tony Tan Choon Keat, Beng Teck Liang"
Origo,https://www.crunchbase.com/organization/origo-network,"Blockchain, Cyber Security, Privacy, Security","Singapore, Central Region, Singapore",Origo enables users to create and execute smart contracts without leaking any sensitive information.,30000000,USD,30000000,Private,,,Active,https://origo.network/,11-50,30000000,USD,30000000,Undisclosed,1,Polychain
TotallyAwesome,https://www.crunchbase.com/organization/totallyawesome,"Advertising, Information Technology","Singapore, Central Region, Singapore",TotallyAwesome is the largest kids-safe digital advertising and content platform in Asia-Pacific.,2000000,USD,2000000,Private,,,Active,https://www.totallyawesome.tv/,11-50,2000000,USD,2000000,Venture - Series Unknown,1,"YYX Capital, Nigel Wray"
Keppel DC REIT,https://www.crunchbase.com/organization/keppel-dc-reit,Financial Services,"Singapore, Central Region, Singapore",Keppel DC REIT invests in a diversified portfolio of income-producing real estate.,478200000,SGD,348084081,Public,,,Active,http://www.keppeldcreit.com/en/home.aspx,,478200000,SGD,348084081,Post-IPO Equity,1,
CoinTiger,https://www.crunchbase.com/organization/cointiger,"Cryptocurrency, Developer Platform, Trading Platform, Virtual Currency","Singapore, Central Region, Singapore","CoinTiger.com is a global crypto-currency trading platform, which is co-founded by SINGAPORE TAI-E CYBER-TECH PTE.LTD...",1000000,USD,1000000,Private,,,Active,https://www.cointiger.com/exchange/index.html,11-50,,,,Seed,2,"Node Capital, JLAB | JD capital"
FireVisor,https://www.crunchbase.com/organization/firevisor-systems-pte-ltd,"Artificial Intelligence, Industrial Automation, Machine Learning, Manufacturing, Software","Singapore, Central Region, Singapore",FireVisor provide AI powered software platform that understands manufacturing data to reduce the cost of product failure.,1085000,SGD,806742,Private,,,Active,http://firevisor.com,1-10,1000000,SGD,740021,Seed,4,"Entrepreneur First, Charlie Songhurst, Acequia Capital (Acecap), 500 Durians, NUS Enterprise"
SGeBIZ,https://www.crunchbase.com/organization/sgebiz,"Information Technology, Procurement, Software","Bukit Merah, Central Region, Singapore",SGeBIZ is a procure-to-pay platform in Singapore.,1245000,SGD,908228,Private,,,Active,https://www.sgebiz.com/,11-50,845000,SGD,619976,Seed,2,Startup-O
Apvera,https://www.crunchbase.com/organization/apvera,"Analytics, Big Data, Cyber Security, Machine Learning, Security, Software","Singapore, Central Region, Singapore","Apvera is an information technology company that offers cyber-security solutions for businesses, firms, and companies.",1630129,USD,1630129,Private,,,Active,https://www.apvera.com/,1-10,,,,Undisclosed,4,"Nest, CyLon, muru-D, August One, Spring SEEDS Capital"
Sun Electric,https://www.crunchbase.com/organization/sun-electric,"Energy, Renewable Energy, Solar","Singapore, Central Region, Singapore","Sun Electric is specialises in solar energy technology, urban solar solutions, and energy management services.",100000000,USD,100000000,Private,,,Active,https://sunelectric.com.sg/,11-50,100000000,USD,100000000,Private Equity,1,"Hector Capital Partners, Agritrade International"
DropSuite,https://www.crunchbase.com/organization/dropsuite,"Cloud Computing, Enterprise Software, SaaS, Software, Web Hosting","Singapore, Central Region, Singapore","Dropsuite is a software platform that enables small and medium enterprises to easily backup, recover and protect their digital assets.",5000000,USD,5000000,Public,,,Active,https://dropsuite.com,11-50,5000000,USD,5000000,Series A,2,"500 Startups, HATCHER+, Singapore Angel Network, Harveen Narulla"
AlphaWallet,https://www.crunchbase.com/organization/alphawallet,"Blockchain, Internet","Singapore, Central Region, Singapore",Connecting businesses and consumers with the new digital economic infrastructure.,2334200,USD,2334200,Private,,,Active,https://alphawallet.com/,11-50,1200000,USD,1200000,Seed,2,"LongHash Ventures, HashKey Capital, Fenbushi Capital, UnityVC"
Handprint,https://www.crunchbase.com/organization/handprint-0998,"CleanTech, Forestry, GreenTech, Information Technology, Internet, SaaS, Social Impact, Software, Sustainability","Singapore, Central Region, Singapore","B2B2C SaaS with consumer app, delivering interactive impact as a service",500000,USD,500000,Private,,,Active,https://handprint.tech,11-50,500000,USD,500000,Pre-Seed,1,
Peoplewave,https://www.crunchbase.com/organization/peoplewave,"Blockchain, Human Resources","Singapore, Central Region, Singapore",Peoplewave is an HR Blockchain Company that revolutionizes recruitment and background checks.,2000000,USD,2000000,Private,,,Active,https://peoplewave.co/,11-50,2000000,USD,2000000,Series A,1,
Lion TCR,https://www.crunchbase.com/organization/lion-tcr,"Biotechnology, Health Care, Health Diagnostics, Therapeutics","Singapore, Central Region, Singapore",Lion TCR is a clinical-stage biotechnology company.,20000000,USD,20000000,Private,,,Active,http://liontcr.com/,1-10,20000000,USD,20000000,Series A,1,"Westlake Venture Partners, Yashang Capital"
AsiaKredit,https://www.crunchbase.com/organization/asiakredit,"Finance, Financial Services, FinTech","Singapore, Central Region, Singapore",AsiaKredit (asiakredit.com) provides a fast and convenient consumer loan product through a mobile app to Southeast Asia’s unbanked.  ,2500000,USD,2500000,Private,GoBear,https://www.crunchbase.com/organization/gobear,Active,https://asiakredit.com/,11-50,1825000,USD,1825000,Venture - Series Unknown,4,"SIG Ventures, Fintonia Group, FORUM, Reliance Modal Ventura"
LydianCoin,https://www.crunchbase.com/organization/lydiancoin,"Artificial Intelligence, Blockchain, Cloud Computing, Internet, Marketing","Singapore, Central Region, Singapore",The First A.I. Big Data Marketing Cloud for Blockchain.,10000000,USD,10000000,Private,,,Active,https://lydian.io/,11-50,10000000,USD,10000000,Initial Coin Offering,1,
bitget.com,https://www.crunchbase.com/organization/bitget-com,"Asset Management, Financial Services, Trading Platform","Singapore, Central Region, Singapore","Bitget is a cryptocurrency derivatices trading platform, who supports spot trading and futures trading, with comprehensive features",10000000,USD,10000000,Private,,,Active,https://www.bitget.com/,251-500,10000000,USD,10000000,Corporate Round,1,"8 Decimal Capital, MX Capital, CoinNess, Transferance Fund"
JULES CORPORATION,https://www.crunchbase.com/organization/jules-corporation,"EdTech, Education, Gamification, Mobile, Software","Singapore, Central Region, Singapore",Preparing Our Children for Jobs of the Future,1700000,USD,1700000,Private,,,Active,https://www.juleszone.com,1-10,700000,USD,700000,Angel,2,"Nogle Ventures Limited, Neon Capital Partners Ltd."
SingX,https://www.crunchbase.com/organization/singx,"Financial Services, Payments","Singapore, Central Region, Singapore",SingX is a Singaporean Fin-tech company dealing with money transfer.,4500000,USD,4500000,Private,,,Active,https://www.singx.co/singx,11-50,4500000,USD,4500000,Seed,1,
CDRX,https://www.crunchbase.com/organization/cdrx,"Banking, Blockchain, Financial Exchanges, Financial Services, FinTech, Stock Exchanges, Trading Platform","Singapore, Central Region, Singapore","Trade global equities, bonds and derivatives as securitised tokens (Crypto Depository Receipts) - faster, cheaper and fractionally",19000000,USD,19000000,Private,,,Active,https://www.cdrx.io,11-50,15000000,USD,15000000,Series A,4,
Eatsy Technologies,https://www.crunchbase.com/organization/eatsy-technologies,"Apps, Food and Beverage, Food Processing, Internet","Singapore, Central Region, Singapore",Mobile-first restaurant technology company.,975893,USD,975893,Private,,,Active,https://eatsyapp.co,11-50,550000,USD,550000,Seed,3,"East Ventures, Quest Ventures, Vikram Rupani, Rajesh Lingappa, Teng Wen Wee"
TradeCloud Commodities Web Services AG,https://www.crunchbase.com/organization/tradecloud-commodities-web-services-ag,"Blockchain, Information Technology, Internet","Singapore, Central Region, Singapore","TradeCloud is a bespoke platform, designed and developed specifically for the physical commodity markets.",5000000,USD,5000000,Private,,,Active,https://tradecloud.sg/,1-10,5000000,USD,5000000,Initial Coin Offering,1,
RateX,https://www.crunchbase.com/organization/ratex,"E-Commerce, Payments, Social Network","Singapore, Central Region, Singapore",RateX helps you pay less online. Locally and internationally.,3000000,SGD,2282934,Private,,,Active,https://www.ratex.co/,11-50,3000000,SGD,2282934,Seed,1,"Alpha JWC Ventures, Insignia Ventures Partners"
